saqa_id;name;type;field_study;subfield_study
22375;Bachelor of Science Honours in Medical Bioscience;Honours Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
21048;Certificate: Marketing;National Certificate;Business, Commerce and Management Studies;Marketing
49130;Bachelor of Theology (BTh);National First Degree;Human and Social Studies;Religious and Ethical Foundations of Society
49511;National Certificate: Lift Inspection;National Certificate;Manufacturing, Engineering and Technology;Engineering and Related Design
81059;Bachelor of Arts Honours: Statistics;Honours Degree;Physical, Mathematical, Computer and Life Sciences;Mathematical Sciences
60289;National Certificate: Community Recreation;National Certificate;Culture and Arts;Sport
81363;Master of Social Science: Oral Studies;Master's Degree;Communication Studies and Language;Communication Studies
97593;Master of Philosophy in Africa Studies;Master's Degree;Human and Social Studies;General Social Science
16514;Diploma: General Nursing;National Diploma;Health Sciences and Social Services;Curative Health
101040;Bachelor of Commerce in Economics;National First Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
21777;Advanced Diploma: Management: Enterprise Management;Advanced Diploma;Business, Commerce and Management Studies;Project Management
96907;Master of Business Studies in Auditing;Master's Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
20358;Diploma: Technician: Internal Auditing;National Diploma;Business, Commerce and Management Studies;Finance, Economics and Accounting
48915;Further Education and Training Certificate: Manufacturing and Assembly Operations Supervision;Further Ed and Training Cert;Manufacturing, Engineering and Technology;Manufacturing and Assembly
16964;Bachelor of Commerce Honours: Actuary;Honours Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
104770;Master of Philosophy in Infectious Disease and HIV Medicine;Master's Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
50265;National Certificate: Family Law Practice;National Certificate;Law, Military Science and Security;Justice in Society
99596;Bachelor of Education Honours in Educational Management;Honours Degree;Education, Training and Development;Schooling
22323;National Certificate: Interior Decorating;National Certificate;Culture and Arts;Design Studies
87052;Bachelor of Arts Honours: Human Movement Science: Sport Science;Honours Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
16909;Bachelor of Commerce in Law;National First Degree;Law, Military Science and Security;Justice in Society
7705;Bachelor of Oral Health;National First Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
81216;Certificate: Nursing: Primary Care;National Certificate;Health Sciences and Social Services;Curative Health
72816;Postgraduate Diploma: Philosophy;Postgraduate Diploma;Human and Social Studies;General Social Science
49010;National Diploma: Plant Production;National Diploma;Agriculture and Nature Conservation;Primary Agriculture
78485;Postgraduate Diploma in Forensic Investigation and Criminal Justice;Postgraduate Diploma;Law, Military Science and Security;Justice in Society
83046;Diploma in Somatology;Diploma (Min 360);Health Sciences and Social Services;Promotive Health and Developmental Services
102358;Doctor of Philosophy in Geo-Informatics;Doctoral Degree;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
48796;National Certificate: Quality Assurance of Tyre Manufacturing Processes;National Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
67003;National Certificate: N6 Public Relations;National N Certificate;Business, Commerce and Management Studies;Public Relations
7487;Bachelor of Medical Sciences;National First Degree;Health Sciences and Social Services;Preventive Health
8875;Doctor of Philosophy: Consumer Science: Food Management;Doctoral Degree;Services;Hospitality, Tourism, Travel, Gaming and Leisure
87347;Postgraduate Diploma in Counselling and Psychotherapy;Postgraduate Diploma;Health Sciences and Social Services;Curative Health
101607;Bachelor of Design in Visual Communication Design;National First Degree;Culture and Arts;Design Studies
61569;Further Education and Training Certificate: Power Plant Operations;Further Ed and Training Cert;Manufacturing, Engineering and Technology;Manufacturing and Assembly
16941;Doctor of Philosophy: Agricultural Management;Doctoral Degree;Business, Commerce and Management Studies;Generic Management
81212;Certificate: Nursing: General;National Certificate;Health Sciences and Social Services;Curative Health
101364;Occupational Certificate: Warping Machine Operator;Occupational Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
73298;Further Education and Training Certificate: Photography;Further Ed and Training Cert;Culture and Arts;Visual Arts
72581;National Diploma: Environmental Management;National Diploma;Agriculture and Nature Conservation;Nature Conservation
